Locality Name,Post Code,Municipality Name
Jackass Flat,3556,Greater Bendigo City Council
Jacob Creek,3825,Baw Baw Shire Council
Jam Jerrup,3984,Bass Coast Shire Council
Jamieson,3723,Mansfield Shire Council
Jan Juc,3228,Surf Coast Shire Council
Jancourt,3266,Corangamite Shire Council
Jancourt East,3266,Colac Otway Shire Council
Jancourt East,3266,Corangamite Shire Council
Jarklin,3517,Loddon Shire Council
Jarrahmond,3888,East Gippsland Shire Council
Jarvis Creek,3700,Towong Shire Council
Jeeralang,3840,Latrobe City Council
Jeeralang Junction,3840,Latrobe City Council
Jeetho,3945,South Gippsland Shire Council
Jeffcott,3480,Buloke Shire Council
Jeffcott North,3480,Buloke Shire Council
Jeparit,3423,Hindmarsh Shire Council
Jeruk,3527,Buloke Shire Council
Jil Jil,3483,Buloke Shire Council
Jilpanger,3409,Horsham Rural City Council
Jindivick,3818,Baw Baw Shire Council
Joel Joel,3384,Northern Grampians Shire Council
Joel South,3384,Northern Grampians Shire Council
Johanna,3238,Colac Otway Shire Council
Johnsonville,3902,East Gippsland Shire Council
Joyces Creek,3364,Central Goldfields Shire Council
Joyces Creek,3364,Mount Alexander Shire Council
Jumbuk,3869,Latrobe City Council
Jumbunna,3951,South Gippsland Shire Council
Junction Village,3977,Casey City Council
Jung,3401,Horsham Rural City Council
Jung,3401,Yarriambiack Shire Council
Junortoun,3551,Greater Bendigo City Council
Kaarimba,3635,Moira Shire Council
Kadnook,3318,West Wimmera Shire Council
Kalimna,3909,East Gippsland Shire Council
Kalimna West,3909,East Gippsland Shire Council
Kalkallo,3064,Hume City Council
Kalkee,3401,Horsham Rural City Council
Kallista,3791,Yarra Ranges Shire Council
Kalorama,3766,Yarra Ranges Shire Council
Kalpienung,3529,Buloke Shire Council
Kamarooka,3570,Greater Bendigo City Council
Kamarooka,3570,Loddon Shire Council
Kamarooka North,3571,Loddon Shire Council
Kanagulk,3401,Horsham Rural City Council
Kancoona,3691,Alpine Shire Council
Kangaroo Flat,3555,Greater Bendigo City Council
Kangaroo Ground,3097,Nillumbik Shire Council
Kaniva,3419,Hindmarsh Shire Council
Kaniva,3419,West Wimmera Shire Council
Kanumbra,3719,Murrindindi Shire Council
Kanya,3387,Northern Grampians Shire Council
Kanyapella,3564,Campaspe Shire Council
Karabeal,3294,Southern Grampians Shire Council
Kardella,3951,South Gippsland Shire Council
Kardella South,3950,South Gippsland Shire Council
Kariah,3260,Corangamite Shire Council
Karnak,3401,West Wimmera Shire Council
Karramomus,3631,Greater Shepparton City Council
Karyrie,3483,Buloke Shire Council
Katamatite,3649,Moira Shire Council
Katamatite East,3649,Moira Shire Council
Katandra,3634,Greater Shepparton City Council
Katandra West,3634,Greater Shepparton City Council
Katunga,3640,Moira Shire Council
Kawarren,3249,Colac Otway Shire Council
Kealba,3021,Brimbank City Council
Keely,3568,Gannawarra Shire Council
Keilor,3036,Brimbank City Council
Keilor,3036,Hume City Council
Keilor Downs,3038,Brimbank City Council
Keilor East,3033,Brimbank City Council
Keilor East,3033,Moonee Valley City Council
Keilor Lodge,3038,Brimbank City Council
Keilor North,3036,Brimbank City Council
Keilor Park,3042,Brimbank City Council
Kellalac,3393,Yarriambiack Shire Council
Kelvin View,3666,Strathbogie Shire Council
Kenley,3597,Swan Hill Rural City Council
Kenmare,3395,Hindmarsh Shire Council
Kennedys Creek,3239,Corangamite Shire Council
Kennett River,3234,Colac Otway Shire Council
Kennington,3550,Greater Bendigo City Council
Kensington,3031,Melbourne City Council
Kensington,3031,Moonee Valley City Council
Kerang,3579,Gannawarra Shire Council
Kerang East,3579,Gannawarra Shire Council
Kergunyah,3691,Indigo Shire Council
Kergunyah South,3691,Alpine Shire Council
Kernot,3979,Bass Coast Shire Council
Kerrie,3434,Macedon Ranges Shire Council
Kerrisdale,3660,Murrindindi Shire Council
Kevington,3723,Mansfield Shire Council
Kew,3101,Boroondara City Council
Kew East,3102,Boroondara City Council
Kewell,3390,Horsham Rural City Council
Kewell,3390,Yarriambiack Shire Council
Keysborough,3173,Greater Dandenong City Council
Kialla,3631,Greater Shepparton City Council
Kialla East,3631,Greater Shepparton City Council
Kialla West,3631,Greater Shepparton City Council
Kiata,3418,Hindmarsh Shire Council
Kiewa,3691,Indigo Shire Council
Kilcunda,3995,Bass Coast Shire Council
Killara,3312,Glenelg Shire Council
Killara,3691,Wodonga City Council
Killarney,3283,Moyne Shire Council
Killawarra,3678,Wangaratta Rural City Council
Killingworth,3717,Murrindindi Shire Council
Kilmany,3851,Wellington Shire Council
Kilmore,3764,Mitchell Shire Council
Kilmore East,3764,Mitchell Shire Council
Kilsyth,3137,Maroondah City Council
Kilsyth,3137,Yarra Ranges Shire Council
Kilsyth South,3137,Maroondah City Council
Kimbolton,3551,Greater Bendigo City Council
King Valley,3678,Wangaratta Rural City Council
Kinglake,3763,Murrindindi Shire Council
Kinglake Central,3757,Murrindindi Shire Council
Kinglake West,3757,Murrindindi Shire Council
Kinglake West,3757,Whittlesea City Council
Kingower,3517,Loddon Shire Council
Kings Park,3021,Brimbank City Council
Kingsbury,3083,Darebin City Council
Kingston,3364,Hepburn Shire Council
Kingsville,3012,Maribyrnong City Council
Kinnabulla,3483,Buloke Shire Council
Kinypanial,3520,Loddon Shire Council
Kirkstall,3283,Moyne Shire Council
Kirwans Bridge,3608,Strathbogie Shire Council
Kithbrook,3666,Strathbogie Shire Council
Knebsworth,3286,Moyne Shire Council
Knockwood,3723,Mansfield Shire Council
Knowsley,3523,Greater Bendigo City Council
Knoxfield,3180,Knox City Council
Koallah,3260,Corangamite Shire Council
Koetong,3704,Towong Shire Council
Kolora,3265,Corangamite Shire Council
Kolora,3265,Moyne Shire Council
Kongwak,3951,Bass Coast Shire Council
Kongwak,3951,South Gippsland Shire Council
Konongwootong,3315,Southern Grampians Shire Council
Koo Wee Rup,3981,Cardinia Shire Council
Koo Wee Rup North,3981,Cardinia Shire Council
Kooloonong,3597,Swan Hill Rural City Council
Koonda,3669,Strathbogie Shire Council
Koondrook,3580,Gannawarra Shire Council
Koonoomoo,3644,Moira Shire Council
Koonwarra,3954,South Gippsland Shire Council
Kooreh,3477,Northern Grampians Shire Council
Koorlong,3501,Mildura Rural City Council
Koornalla,3844,Latrobe City Council
Kooroocheang,3364,Hepburn Shire Council
Koorooman,3953,South Gippsland Shire Council
Kooyong,3144,Stonnington City Council
Koriella,3714,Murrindindi Shire Council
Korobeit,3341,Moorabool Shire Council
Koroit,3282,Moyne Shire Council
Korong Vale,3520,Loddon Shire Council
Koroop,3579,Gannawarra Shire Council
Korumburra,3950,South Gippsland Shire Council
Korumburra South,3950,South Gippsland Shire Council
Korweinguboora,3461,Moorabool Shire Council
Kotta,3565,Campaspe Shire Council
Kotupna,3638,Moira Shire Council
Koyuga,3622,Campaspe Shire Council
Krowera,3945,Bass Coast Shire Council
Krowera,3945,South Gippsland Shire Council
Kulwin,3490,Mildura Rural City Council
Kunat,3585,Swan Hill Rural City Council
Kurraca,3518,Loddon Shire Council
Kurraca West,3518,Loddon Shire Council
Kurting,3517,Loddon Shire Council
Kurunjang,3337,Melton City Council
Kyabram,3620,Campaspe Shire Council
Kyabram,3620,Greater Shepparton City Council
Kyabram South,3620,Greater Shepparton City Council
Kyneton,3444,Macedon Ranges Shire Council
Kyneton South,3444,Macedon Ranges Shire Council
Kyvalley,3621,Campaspe Shire Council
Laanecoorie,3463,Loddon Shire Council
Laang,3265,Moyne Shire Council
Labertouche,3816,Baw Baw Shire Council
Laceby,3678,Wangaratta Rural City Council
Ladys Pass,3523,Greater Bendigo City Council
Laen,3480,Buloke Shire Council
Laen,3480,Yarriambiack Shire Council
Laen East,3480,Buloke Shire Council
Laen North,3480,Buloke Shire Council
Lah,3393,Yarriambiack Shire Council
Laharum,3401,Horsham Rural City Council
Lake Boga,3584,Swan Hill Rural City Council
Lake Bolac,3351,Ararat Rural City Council
Lake Bunga,3909,East Gippsland Shire Council
Lake Charm,3581,Gannawarra Shire Council
Lake Condah,3303,Glenelg Shire Council
Lake Eildon,3713,Mansfield Shire Council
Lake Fyans,3381,Northern Grampians Shire Council
Lake Gardens,3355,Ballarat City Council
Lake Goldsmith,3373,Pyrenees Shire Council
Lake Lonsdale,3381,Northern Grampians Shire Council
Lake Marmal,3525,Loddon Shire Council
Lake Meran,3579,Gannawarra Shire Council
Lake Mundi,3312,Glenelg Shire Council
Lake Powell,3597,Swan Hill Rural City Council
Lake Rowan,3727,Moira Shire Council
Lake Tyers,3887,East Gippsland Shire Council
Lake Tyers Beach,3909,East Gippsland Shire Council
Lake Wendouree,3350,Ballarat City Council
Lake Wongan,3373,Pyrenees Shire Council
Lakes Entrance,3909,East Gippsland Shire Council
Lal Lal,3352,Moorabool Shire Council
Lalbert,3542,Gannawarra Shire Council
Lalor,3075,Whittlesea City Council
Lamplough,3352,Pyrenees Shire Council
Lancaster,3620,Campaspe Shire Council
Lancaster,3620,Greater Shepparton City Council
Lance Creek,3995,Bass Coast Shire Council
Lancefield,3435,Macedon Ranges Shire Council
Landsborough,3384,Pyrenees Shire Council
Landsborough West,3384,Northern Grampians Shire Council
Landsborough West,3384,Pyrenees Shire Council
Lang Lang,3984,Bass Coast Shire Council
Lang Lang,3984,Cardinia Shire Council
Lang Lang,3984,South Gippsland Shire Council
Lang Lang East,3984,Cardinia Shire Council
Langdons Hill,3363,Hepburn Shire Council
Langi Kal Kal,3352,Pyrenees Shire Council
Langi Logan,3377,Ararat Rural City Council
Langkoop,3318,West Wimmera Shire Council
Langley,3444,Mount Alexander Shire Council
Langsborough,3971,Wellington Shire Council
Langwarrin,3910,Frankston City Council
Langwarrin South,3911,Frankston City Council
Lara,3212,Greater Geelong City Council
Lardner,3821,Baw Baw Shire Council
Larpent,3249,Colac Otway Shire Council
Larralea,3325,Corangamite Shire Council
Lascelles,3487,Yarriambiack Shire Council
Launching Place,3139,Yarra Ranges Shire Council
Lauriston,3444,Macedon Ranges Shire Council
Lavers Hill,3238,Colac Otway Shire Council
Laverton,3028,Hobsons Bay City Council
Laverton,3028,Wyndham City Council
Laverton North,3026,Wyndham City Council
Lawler,3480,Buloke Shire Council
Lawler,3480,Yarriambiack Shire Council
Lawloit,3418,West Wimmera Shire Council
Lawrence,3364,Hepburn Shire Council
Leaghur,3537,Loddon Shire Council
Learmonth,3352,Ballarat City Council
Ledcourt,3385,Northern Grampians Shire Council
Leichardt,3516,Greater Bendigo City Council
Leichardt,3516,Loddon Shire Council
Leigh Creek,3352,Moorabool Shire Council
Leitchville,3567,Gannawarra Shire Council
Leitchville,3567,Loddon Shire Council
Lemnos,3631,Greater Shepparton City Council
Leneva,3691,Wodonga City Council
Leonards Hill,3461,Hepburn Shire Council
Leongatha,3953,South Gippsland Shire Council
Leongatha North,3953,South Gippsland Shire Council
Leongatha South,3953,South Gippsland Shire Council
Leopold,3224,Greater Geelong City Council
Lerderderg,3458,Moorabool Shire Council
Leslie Manor,3260,Corangamite Shire Council
Lethbridge,3332,Golden Plains Shire Council
Lexton,3352,Pyrenees Shire Council
Licola,3858,Wellington Shire Council
Licola North,3858,Wellington Shire Council
Lillico,3820,Baw Baw Shire Council
Lillicur,3371,Central Goldfields Shire Council
Lillicur,3371,Pyrenees Shire Council
Lillimur,3420,West Wimmera Shire Council
Lilliput,3682,Indigo Shire Council
Lilydale,3140,Yarra Ranges Shire Council
Lima,3673,Benalla Rural City Council
Lima East,3673,Benalla Rural City Council
Lima South,3673,Benalla Rural City Council
Lima South,3673,Mansfield Shire Council
Limestone,3717,Murrindindi Shire Council
Lindenow,3865,East Gippsland Shire Council
Lindenow South,3875,East Gippsland Shire Council
Lindsay,3312,Glenelg Shire Council
Lindsay Point,3496,Mildura Rural City Council
Linga,3509,Mildura Rural City Council
Linton,3360,Golden Plains Shire Council
Linton,3360,Pyrenees Shire Council
Liparoo,3549,Swan Hill Rural City Council
Lismore,3324,Corangamite Shire Council
Litchfield,3480,Buloke Shire Council
Little Desert,3418,Hindmarsh Shire Council
Little Hampton,3458,Hepburn Shire Council
Little River,3211,Greater Geelong City Council
Little River,3211,Wyndham City Council
Llanelly,3551,Loddon Shire Council
Llowalong,3862,Wellington Shire Council
Loch,3945,Bass Coast Shire Council
Loch,3945,South Gippsland Shire Council
Loch Sport,3851,Wellington Shire Council
Lockington,3563,Campaspe Shire Council
Locksley,3665,Strathbogie Shire Council
Lockwood,3551,Greater Bendigo City Council
Lockwood South,3551,Greater Bendigo City Council
Loddon Vale,3575,Loddon Shire Council
Logan,3475,Loddon Shire Council
Logan,3475,Northern Grampians Shire Council
Londrigan,3678,Wangaratta Rural City Council
Long Forest,3340,Moorabool Shire Council
Long Gully,3550,Greater Bendigo City Council
Longerenong,3401,Horsham Rural City Council
Longerenong,3401,Yarriambiack Shire Council
Longford,3851,Wellington Shire Council
Longlea,3551,Greater Bendigo City Council
Longwarry,3816,Baw Baw Shire Council
Longwarry,3816,Cardinia Shire Council
Longwarry North,3816,Baw Baw Shire Council
Longwood,3665,Strathbogie Shire Council
Longwood East,3666,Strathbogie Shire Council
Lorne,3232,Surf Coast Shire Council
Lorquon,3418,Hindmarsh Shire Council
Lovely Banks,3213,Greater Geelong City Council
Lower Moira,3639,Moira Shire Council
Lower Norton,3401,Horsham Rural City Council
Lower Plenty,3093,Banyule City Council
Lubeck,3385,Northern Grampians Shire Council
Lubeck,3385,Yarriambiack Shire Council
Lucas,3350,Ballarat City Council
Lucknow,3875,East Gippsland Shire Council
Lucyvale,3691,Towong Shire Council
Lurg,3673,Benalla Rural City Council
Lyal,3444,Greater Bendigo City Council
Lynbrook,3975,Casey City Council
Lyndhurst,3975,Casey City Council
Lyndhurst,3975,Greater Dandenong City Council
Lyons,3304,Glenelg Shire Council
Lyonville,3461,Hepburn Shire Council
Lysterfield,3156,Knox City Council
Lysterfield,3156,Yarra Ranges Shire Council
Lysterfield South,3156,Casey City Council
Macarthur,3286,Moyne Shire Council
Macclesfield,3782,Yarra Ranges Shire Council
Macedon,3440,Macedon Ranges Shire Council
Macks Creek,3971,Wellington Shire Council
Macleod,3085,Banyule City Council
Macleod,3085,Darebin City Council
Macorna,3579,Gannawarra Shire Council
Macorna,3579,Loddon Shire Council
Macorna North,3568,Gannawarra Shire Council
Macs Cove,3723,Mansfield Shire Council
Madalya,3971,Wellington Shire Council
Maddingley,3340,Moorabool Shire Council
Mafeking,3379,Ararat Rural City Council
Maffra,3860,Wellington Shire Council
Maffra West Upper,3859,Wellington Shire Council
Magpie,3352,Ballarat City Council
Maiden Gully,3551,Greater Bendigo City Council
Maidstone,3012,Maribyrnong City Council
Mailors Flat,3275,Moyne Shire Council
Main Lead,3373,Pyrenees Shire Council
Main Ridge,3928,Mornington Peninsula Shire Council
Maindample,3723,Mansfield Shire Council
Maintongoon,3714,Murrindindi Shire Council
Major Plains,3725,Benalla Rural City Council
Major Plains,3725,Greater Shepparton City Council
Majorca,3465,Central Goldfields Shire Council
Maldon,3463,Mount Alexander Shire Council
Mallacoota,3892,East Gippsland Shire Council
Malmsbury,3446,Hepburn Shire Council
Malmsbury,3446,Macedon Ranges Shire Council
Malmsbury,3446,Mount Alexander Shire Council
Malvern,3144,Stonnington City Council
Malvern East,3145,Stonnington City Council
Mambourin,3024,Wyndham City Council
Manangatang,3546,Swan Hill Rural City Council
Mandurang,3551,Greater Bendigo City Council
Mandurang South,3551,Greater Bendigo City Council
Mangalore,3663,Mitchell Shire Council
Mangalore,3663,Strathbogie Shire Council
Manifold Heights,3218,Greater Geelong City Council
Mannerim,3222,Greater Geelong City Council
Mannibadar,3360,Golden Plains Shire Council
Manns Beach,3971,Wellington Shire Council
Manor Lakes,3024,Wyndham City Council
Manorina,3889,East Gippsland Shire Council
Mansfield,3722,Mansfield Shire Council
Maramingo Creek,3891,East Gippsland Shire Council
Marcus Hill,3222,Greater Geelong City Council
Mardan,3953,South Gippsland Shire Council
Marengo,3233,Colac Otway Shire Council
Maribyrnong,3032,Maribyrnong City Council
Marionvale,3634,Greater Shepparton City Council
Markwood,3678,Wangaratta Rural City Council
Marlbed,3483,Buloke Shire Council
Marlo,3888,East Gippsland Shire Council
Marnoo,3387,Northern Grampians Shire Council
Marnoo East,3477,Northern Grampians Shire Council
Marnoo West,3387,Northern Grampians Shire Council
Marong,3515,Greater Bendigo City Council
Marong,3515,Loddon Shire Council
Maroona,3377,Ararat Rural City Council
Marraweeney,3669,Strathbogie Shire Council
Marshall,3216,Greater Geelong City Council
Marungi,3634,Greater Shepparton City Council
Marungi,3634,Moira Shire Council
Maryborough,3465,Central Goldfields Shire Council
Maryknoll,3812,Cardinia Shire Council
Marysville,3779,Murrindindi Shire Council
Maryvale,3840,Latrobe City Council
Massey,3482,Buloke Shire Council
Matlock,3723,Mansfield Shire Council
Matlock,3723,Yarra Ranges Shire Council
Maude,3331,Golden Plains Shire Council
McCrae,3938,Mornington Peninsula Shire Council
McIntyre,3472,Loddon Shire Council
McKenzie Creek,3401,Horsham Rural City Council
McKenzie Hill,3451,Mount Alexander Shire Council
McKinnon,3204,Glen Eira City Council
McLoughlins Beach,3874,Wellington Shire Council
McMahons Creek,3799,Yarra Ranges Shire Council
McMillans,3568,Gannawarra Shire Council
Mead,3568,Gannawarra Shire Council
Meadow Creek,3678,Wangaratta Rural City Council
Meadow Heights,3048,Hume City Council
Meatian,3585,Gannawarra Shire Council
Meatian,3585,Swan Hill Rural City Council
Meeniyan,3956,South Gippsland Shire Council
Meering West,3579,Gannawarra Shire Council
Meerlieu,3862,Wellington Shire Council
Melbourne,3000,Melbourne City Council
Melbourne,3004,Melbourne City Council
Melbourne,3004,Port Phillip City Council
Melbourne Airport,3045,Hume City Council
Melton,3337,Melton City Council
Melton South,3338,Melton City Council
Melton West,3337,Melton City Council
Melville Forest,3315,Southern Grampians Shire Council
Melwood,3875,East Gippsland Shire Council
Mena Park,3373,Pyrenees Shire Council
Mentone,3194,Kingston City Council
Menzies Creek,3159,Cardinia Shire Council
Menzies Creek,3159,Yarra Ranges Shire Council
Mepunga,3277,Moyne Shire Council
Mepunga East,3277,Moyne Shire Council
Mepunga West,3277,Moyne Shire Council
Merbein,3505,Mildura Rural City Council
Merbein South,3505,Mildura Rural City Council
Merbein West,3505,Mildura Rural City Council
Meredith,3333,Golden Plains Shire Council
Meredith,3333,Moorabool Shire Council
Meringur,3496,Mildura Rural City Council
Merino,3310,Glenelg Shire Council
Mernda,3754,Whittlesea City Council
Merriang,3737,Alpine Shire Council
Merriang South,3737,Alpine Shire Council
Merricks,3916,Mornington Peninsula Shire Council
Merricks Beach,3926,Mornington Peninsula Shire Council
Merricks North,3926,Mornington Peninsula Shire Council
Merrigum,3618,Greater Shepparton City Council
Merrijig,3723,East Gippsland Shire Council
Merrijig,3723,Mansfield Shire Council
Merrimu,3340,Moorabool Shire Council
Merrinee,3496,Mildura Rural City Council
Merton,3715,Mansfield Shire Council
Merton,3715,Murrindindi Shire Council
Metcalfe,3448,Mount Alexander Shire Council
Metcalfe East,3444,Mount Alexander Shire Council
Metung,3904,East Gippsland Shire Council
Mia Mia,3444,Greater Bendigo City Council
Mia Mia,3444,Mitchell Shire Council
Mickleham,3064,Hume City Council
Middle Creek,3375,Ararat Rural City Council
Middle Creek,3375,Pyrenees Shire Council
Middle Park,3206,Port Phillip City Council
Middle Tarwin,3956,South Gippsland Shire Council
Miepoll,3666,Strathbogie Shire Council
Miga Lake,3409,West Wimmera Shire Council
Milawa,3678,Wangaratta Rural City Council
Mildura,3500,Mildura Rural City Council
Mill Park,3082,Whittlesea City Council
Millbrook,3352,Moorabool Shire Council
Millgrove,3799,Yarra Ranges Shire Council
Milloo,3572,Campaspe Shire Council
Milltown,3304,Glenelg Shire Council
Milnes Bridge,3579,Gannawarra Shire Council
Mincha,3575,Loddon Shire Council
Mincha West,3568,Gannawarra Shire Council
Miners Rest,3352,Ballarat City Council
Mingay,3324,Corangamite Shire Council
Minhamite,3287,Moyne Shire Council
Minimay,3413,West Wimmera Shire Council
Mininera,3351,Ararat Rural City Council
Minjah,3276,Moyne Shire Council
Minmindie,3537,Loddon Shire Council
Minyip,3392,Yarriambiack Shire Council
Miram,3415,West Wimmera Shire Council
Mirboo,3871,Latrobe City Council
Mirboo,3871,South Gippsland Shire Council
Mirboo North,3871,South Gippsland Shire Council
Mirranatwa,3294,Southern Grampians Shire Council
Mitcham,3132,Whitehorse City Council
Mitchell Park,3355,Ballarat City Council
Mitchellstown,3608,Strathbogie Shire Council
Mitiamo,3573,Campaspe Shire Council
Mitiamo,3573,Loddon Shire Council
Mitre,3409,Horsham Rural City Council
Mitre,3409,West Wimmera Shire Council
Mitta Mitta,3701,Towong Shire Council
Mittyack,3490,Mildura Rural City Council
Mockinya,3401,Horsham Rural City Council
Modella,3816,Baw Baw Shire Council
Modella,3816,Cardinia Shire Council
Modewarre,3240,Surf Coast Shire Council
Moe,3825,Baw Baw Shire Council
Moe,3825,Latrobe City Council
Moe South,3825,Baw Baw Shire Council
Moe South,3825,Latrobe City Council
Moggs Creek,3231,Surf Coast Shire Council
Moglonemby,3666,Strathbogie Shire Council
Mokepilly,3381,Northern Grampians Shire Council
Molesworth,3718,Murrindindi Shire Council
Moliagul,3472,Central Goldfields Shire Council
Moliagul,3472,Loddon Shire Council
Molka,3666,Strathbogie Shire Council
Mollongghip,3352,Hepburn Shire Council
Mollongghip,3352,Moorabool Shire Council
Mologa,3575,Loddon Shire Council
Molyullah,3673,Benalla Rural City Council
Monbulk,3793,Yarra Ranges Shire Council
Monegeetta,3433,Macedon Ranges Shire Council
Mongans Bridge,3691,Alpine Shire Council
Monomeith,3984,Cardinia Shire Council
Mont Albert,3127,Boroondara City Council
Mont Albert,3127,Whitehorse City Council
Mont Albert North,3129,Whitehorse City Council
Montgomery,3851,Wellington Shire Council
Montmorency,3094,Banyule City Council
Montrose,3765,Yarra Ranges Shire Council
Moolap,3224,Greater Geelong City Council
Moolerr,3477,Northern Grampians Shire Council
Moolort,3465,Central Goldfields Shire Council
Moonambel,3478,Pyrenees Shire Council
Moondarra,3825,Baw Baw Shire Council
Moonee Ponds,3039,Moonee Valley City Council
Moonlight Flat,3450,Mount Alexander Shire Council
Moonlight Flat,3465,Central Goldfields Shire Council
Moora,3612,Campaspe Shire Council
Moorabbin,3189,Kingston City Council
Moorabbin Airport,3194,Kingston City Council
Moorabool,3213,Greater Geelong City Council
Mooralla,3314,Southern Grampians Shire Council
Moorilim,3610,Greater Shepparton City Council
Moorilim,3610,Strathbogie Shire Council
Moormbool West,3523,Strathbogie Shire Council
Moornapa,3862,Wellington Shire Council
Moorngag,3673,Benalla Rural City Council
Moorooduc,3933,Mornington Peninsula Shire Council
Mooroolbark,3138,Yarra Ranges Shire Council
Mooroopna,3629,Greater Shepparton City Council
Mooroopna North,3629,Greater Shepparton City Council
Mooroopna North West,3616,Greater Shepparton City Council
Moranding,3764,Mitchell Shire Council
Mordialloc,3195,Kingston City Council
Morgiana,3301,Southern Grampians Shire Council
Moriac,3240,Surf Coast Shire Council
Mornington,3931,Mornington Peninsula Shire Council
Morrisons,3334,Golden Plains Shire Council
Morrisons,3334,Moorabool Shire Council
Morrl Morrl,3387,Northern Grampians Shire Council
Mortlake,3272,Moyne Shire Council
Morton Plains,3482,Buloke Shire Council
Morwell,3840,Latrobe City Council
Mossiface,3885,East Gippsland Shire Council
Mount Alfred,3709,Towong Shire Council
Mount Beauty,3699,Alpine Shire Council
Mount Beckworth,3363,Hepburn Shire Council
Mount Best,3960,South Gippsland Shire Council
Mount Bolton,3352,Ballarat City Council
Mount Bruno,3675,Benalla Rural City Council
Mount Buffalo,3740,Alpine Shire Council
Mount Buller,3723,Unincorporated Land (victoria)
Mount Burnett,3781,Cardinia Shire Council
Mount Bute,3324,Corangamite Shire Council
Mount Camel,3523,Greater Bendigo City Council
Mount Cameron,3370,Central Goldfields Shire Council
Mount Clear,3350,Ballarat City Council
Mount Cole,3377,Ararat Rural City Council
Mount Cole Creek,3377,Ararat Rural City Council
Mount Cottrell,3024,Melton City Council
Mount Cottrell,3024,Wyndham City Council
Mount Dandenong,3767,Yarra Ranges Shire Council
Mount Doran,3334,Moorabool Shire Council
Mount Dryden,3381,Northern Grampians Shire Council
Mount Duneed,3217,Greater Geelong City Council
Mount Duneed,3217,Surf Coast Shire Council
Mount Eccles,3953,South Gippsland Shire Council
Mount Eccles South,3953,South Gippsland Shire Council
Mount Egerton,3352,Moorabool Shire Council
Mount Eliza,3930,Mornington Peninsula Shire Council
Mount Emu,3351,Pyrenees Shire Council
Mount Evelyn,3796,Yarra Ranges Shire Council
Mount Franklin,3461,Hepburn Shire Council
Mount Glasgow,3371,Central Goldfields Shire Council
Mount Helen,3350,Ballarat City Council
Mount Hooghly,3472,Central Goldfields Shire Council
Mount Lonarch,3468,Pyrenees Shire Council
Mount Macedon,3441,Macedon Ranges Shire Council
Mount Major,3646,Greater Shepparton City Council
Mount Martha,3934,Mornington Peninsula Shire Council
Mount Mercer,3352,Golden Plains Shire Council
Mount Moriac,3240,Surf Coast Shire Council
Mount Napier,3301,Southern Grampians Shire Council
Mount Pleasant,3350,Ballarat City Council
Mount Prospect,3364,Hepburn Shire Council
Mount Richmond,3305,Glenelg Shire Council
Mount Rowan,3352,Ballarat City Council
Mount Taylor,3875,East Gippsland Shire Council
Mount Toolebewong,3777,Yarra Ranges Shire Council
Mount Wallace,3342,Moorabool Shire Council
Mount Waverley,3149,Monash City Council
Mountain Bay,3723,Mansfield Shire Council
Mountain View,3988,Baw Baw Shire Council
Moutajup,3294,Southern Grampians Shire Council
Moyarra,3951,South Gippsland Shire Council
Moyhu,3732,Wangaratta Rural City Council
Moyreisk,3477,Northern Grampians Shire Council
Moyston,3377,Ararat Rural City Council
Muckatah,3644,Moira Shire Council
Muckleford,3451,Mount Alexander Shire Council
Muckleford South,3462,Mount Alexander Shire Council
Mudgegonga,3737,Alpine Shire Council
Mudgegonga,3737,Indigo Shire Council
Mulgrave,3170,Monash City Council
Mumbannar,3304,Glenelg Shire Council
Mundoona,3635,Moira Shire Council
Munro,3862,Wellington Shire Council
Muntham,3315,Glenelg Shire Council
Muntham,3315,Southern Grampians Shire Council
Murchison,3610,Greater Shepparton City Council
Murchison,3610,Strathbogie Shire Council
Murchison East,3610,Greater Shepparton City Council
Murchison North,3610,Greater Shepparton City Council
Murgheboluc,3218,Golden Plains Shire Council
Murmungee,3747,Wangaratta Rural City Council
Murnungin,3544,Swan Hill Rural City Council
Murphys Creek,3551,Loddon Shire Council
Murra Warra,3401,Horsham Rural City Council
Murra Warra,3401,Yarriambiack Shire Council
Murrabit,3579,Gannawarra Shire Council
Murrabit West,3579,Gannawarra Shire Council
Murrawee,3586,Swan Hill Rural City Council
Murraydale,3586,Swan Hill Rural City Council
Murrayville,3512,Mildura Rural City Council
Murrindal,3885,East Gippsland Shire Council
Murrindindi,3717,Murrindindi Shire Council
Murroon,3243,Colac Otway Shire Council
Murrumbeena,3163,Glen Eira City Council
Murtoa,3390,Yarriambiack Shire Council
Musk,3461,Hepburn Shire Council
Musk Vale,3461,Hepburn Shire Council
Muskerry,3557,Campaspe Shire Council
Myall,3533,Buloke Shire Council
Myall,3579,Gannawarra Shire Council
Myamyn,3304,Glenelg Shire Council
Myers Flat,3556,Greater Bendigo City Council
Myola,3551,Campaspe Shire Council
Myrniong,3341,Moorabool Shire Council
Myrrhee,3732,Wangaratta Rural City Council
Myrtle Creek,3551,Greater Bendigo City Council
Myrtle Creek,3551,Mount Alexander Shire Council
Myrtlebank,3851,Wellington Shire Council
Myrtleford,3737,Alpine Shire Council
Mysia,3518,Loddon Shire Council
Mystic Park,3579,Gannawarra Shire Council
Mywee,3641,Moira Shire Council
Nagambie,3608,Strathbogie Shire Council
Nalangil,3249,Colac Otway Shire Council
